,fea_year,region,type,Total_Volume,AverageRevenue,Average_price_year
359,2017,MiamiFtLauderdale,organic,254326.07999999993,440641.8989000001,1.7325863666832761
360,2018,HartfordSpringfield,organic,252604.82000000004,478714.15780000004,1.8951109396883241
361,2018,HarrisburgScranton,organic,247839.66999999998,363450.63509999996,1.4664748185792855
362,2016,Tampa,organic,245124.08999999994,344425.21,1.405105512069418
363,2015,Philadelphia,organic,242479.83999999994,435704.4787,1.7968688807283941
364,2016,Pittsburgh,organic,240644.2299999999,358359.21229999996,1.4891660286224195
365,2018,SanDiego,organic,236189.59999999998,430295.26359999995,1.8218213824825478
366,2017,NewOrleansMobile,organic,231017.51000000004,348949.0048,1.5104872561391556
367,2016,BuffaloRochester,organic,218451.38999999998,357699.71969999996,1.6374339375913332
368,2015,Boston,organic,218399.81000000003,362245.1155,1.6586329241769944
369,2017,Louisville,organic,215945.40000000005,294453.4005,1.3635548638683663
370,2018,RaleighGreensboro,organic,211443.03000000003,363973.1214,1.7213767765246268
371,2016,MiamiFtLauderdale,organic,206037.67000000013,281617.1788,1.366823740532495
372,2015,StLouis,organic,205712.50999999995,357268.6351,1.736737523157926
373,2018,CincinnatiDayton,organic,202819.84000000003,312863.0136,1.5425661197642202
374,2015,SouthCarolina,organic,202817.36000000004,370382.34890000004,1.826186618837756
375,2018,WestTexNewMexico,organic,201150.46000000002,329300.5756,1.6370858689560042
376,2017,Syracuse,organic,201145.78,321205.4127,1.5968787050864304
377,2018,RichmondNorfolk,organic,201093.35000000003,276886.97109999997,1.3769076456282614
378,2018,SouthCarolina,organic,200828.25000000003,278406.1558,1.3862898063394964
379,2017,Spokane,organic,199606.88,373617.61029999994,1.8717671971026246
380,2015,Charlotte,organic,196411.7199999999,387383.0143999998,1.9723009115749304
381,2018,Atlanta,organic,195982.14,305937.7391,1.5610490787578908
382,2018,PhoenixTucson,organic,190725.08000000002,308494.9183,1.6174848022084982
383,2016,Indianapolis,organic,189566.82,277035.1787,1.4614117528584378
384,2015,HartfordSpringfield,organic,181739.37,406153.9796000001,2.2348156021449843
385,2016,Jacksonville,organic,181173.23999999996,299067.5525000001,1.6507269644236653
386,2017,Jacksonville,organic,180797.73999999996,347444.0287000001,1.9217277201584497
387,2016,NewOrleansMobile,organic,176836.68000000005,255860.90699999995,1.4468768979376896
388,2015,Spokane,organic,174735.53999999998,285148.50240000006,1.6318861200188588
389,2018,Charlotte,organic,171570.64,281826.1772,1.642624735793956
390,2018,BuffaloRochester,organic,163899.94000000003,192163.6104,1.1724446659345937
391,2018,Pittsburgh,organic,159853.76,221324.6007,1.3845442277992084
392,2016,Spokane,organic,157300.99,235780.5605,1.4989133920899036
393,2015,Orlando,organic,156867.18000000005,291864.83019999985,1.860585689116103
394,2017,Albany,organic,155318.99000000002,264817.34120000014,1.7049901058460406
395,2015,HarrisburgScranton,organic,152515.99000000002,267494.6124,1.7538791335911725
396,2015,BuffaloRochester,organic,151012.84999999998,250336.18639999995,1.6577144686693879
397,2018,Columbus,organic,149230.37,197479.48549999995,1.3233196801696596
398,2017,Boise,organic,146378.96000000002,223522.46589999995,1.5270122557230896
399,2016,Louisville,organic,137957.04,176384.46630000003,1.2785463235511578
400,2016,Boise,organic,136166.25000000003,176576.4925,1.2967713548695066
401,2018,Indianapolis,organic,129756.80999999998,173779.82140000002,1.3392732250430635
402,2015,NewOrleansMobile,organic,129608.08000000002,197488.7078,1.523737623456809
403,2018,LasVegas,organic,123865.07,213143.8575,1.7207745290904046
404,2018,GrandRapids,organic,114649.40000000001,143018.82760000002,1.247445059459535
405,2016,Syracuse,organic,109111.47,176838.11129999996,1.6207105568278015
406,2015,Jacksonville,organic,109019.76000000004,203976.84919999997,1.8710080557873168
407,2018,MiamiFtLauderdale,organic,108482.08999999998,158271.89519999997,1.4589679752667006
408,2018,Orlando,organic,108429.65,163744.1797,1.5101421031977877
409,2018,Sacramento,organic,107213.59,189834.14740000002,1.7706164619615854
410,2015,Indianapolis,organic,106446.60000000002,163448.25900000002,1.5354953469627024
411,2016,GrandRapids,organic,104267.87,169494.79309999998,1.6255706873076048
412,2018,Roanoke,organic,101980.45000000001,159529.7478,1.5643169627119706
413,2018,Tampa,organic,100991.39,146547.0059,1.451084155787934
414,2015,Tampa,organic,100971.18,164812.148,1.632269207906652
415,2015,Boise,organic,98298.18999999994,156615.6507,1.5932709513776406
416,2018,Nashville,organic,95349.68000000001,140976.8011,1.4785241135575913
417,2015,MiamiFtLauderdale,organic,93479.43,151527.7237,1.6209739800510123
418,2016,Albany,organic,92771.52999999998,159869.91110000006,1.7232647893162922
419,2018,StLouis,organic,91942.95999999999,159870.085,1.7387963689661503
420,2015,Louisville,organic,91854.79000000002,137492.987,1.4968515740986394
421,2015,Pittsburgh,organic,90914.57999999999,139820.36039999998,1.5379311041199333
422,2018,NewOrleansMobile,organic,90182.97,124738.24290000001,1.3831684951160959
423,2015,GrandRapids,organic,82886.68000000001,139942.94320000004,1.688364682962329
424,2015,Syracuse,organic,72160.06000000001,122854.24590000002,1.7025241650297962
425,2018,Syracuse,organic,68257.73000000001,82235.2791,1.2047760612607537
426,2015,Albany,organic,67042.25,127490.94510000006,1.9016507515782965
427,2018,Spokane,organic,56802.58,95271.05599999998,1.677231139853154
428,2018,Jacksonville,organic,52980.45,93271.5122,1.7604892408426127
429,2018,Albany,organic,52055.729999999996,78013.1151,1.4986460683578926
430,2018,Louisville,organic,46419.95,68206.73789999998,1.4693410462527423
431,2018,Boise,organic,31803.850000000006,57390.719699999994,1.804521141308363
